date,deaths,deathsTotal,infected
02-27-20,0,0,5
02-28-20,0,0,4
02-29-20,0,0,14
03-01-20,0,0,13
03-02-20,0,0,47
03-03-20,0,0,41
03-04-20,0,0,44
03-05-20,0,0,41
03-06-20,1,1,32
03-07-20,1,2,45
03-08-20,2,4,72
03-09-20,0,4,78
03-10-20,1,5,138
03-11-20,2,7,168
03-12-20,3,10,186
03-13-20,6,16,222
03-14-20,10,26,221
03-15-20,14,40,234
03-16-20,24,64,271
03-17-20,23,87,370
03-18-20,19,106,458
03-19-20,45,151,515
03-20-20,56,207,696
03-21-20,65,272,668
03-22-20,63,335,540
03-23-20,87,422,619
03-24-20,77,499,1120
03-25-20,115,614,1049
03-26-20,126,740,1051
03-27-20,116,856,1178
03-28-20,153,1009,985
03-29-20,123,1132,746
03-30-20,154,1286,806
03-31-20,175,1461,1124
04-01-20,164,1625,1042
04-02-20,178,1803,1028
04-03-20,175,1978,1222
04-04-20,175,2153,1096
04-05-20,164,2317,858
04-06-20,169,2486,772
04-07-20,156,2642,1088
04-08-20,150,2792,1346
04-09-20,119,2911,1315
04-10-20,158,3069,1394
04-11-20,143,3212,1054
04-12-20,144,3356,823
04-13-20,130,3486,756
04-14-20,133,3619,816
04-15-20,124,3743,1114
04-16-20,137,3880,1168
04-17-20,129,4009,1275
04-18-20,118,4127,994
04-19-20,114,4241,623
04-20-20,96,4337,585
04-21-20,131,4468,712
04-22-20,119,4587,971
04-23-20,106,4693,796
04-24-20,93,4786,660
04-25-20,81,4867,576
04-26-20,78,4945,379
04-27-20,75,5020,177
04-28-20,72,5092,393
04-29-20,59,5151,459
04-30-20,66,5217,507
05-01-20,54,5271,492
05-02-20,55,5326,312
05-03-20,45,5371,175
05-04-20,58,5429,285
05-05-20,35,5464,251
05-06-20,53,5517,302
05-07-20,44,5561,298
05-08-20,40,5601,327
05-09-20,39,5640,252
05-10-20,25,5665,152
05-11-20,34,5699,169
05-12-20,34,5733,218
05-13-20,26,5759,295
05-14-20,23,5782,185
05-15-20,23,5805,210
05-16-20,19,5824,156
05-17-20,16,5840,113
05-18-20,15,5855,103
05-19-20,21,5876,180
05-20-20,22,5898,294
05-21-20,11,5909,192
05-22-20,20,5929,196
05-23-20,18,5947,202
05-24-20,13,5960,151
05-25-20,15,5975,126
05-26-20,19,5994,173
05-27-20,16,6010,191
05-28-20,5,6015,206
05-29-20,11,6026,167
05-30-20,11,6037,170
05-31-20,14,6051,99
06-01-20,7,6058,99
06-02-20,8,6066,123
06-03-20,6,6072,185
06-04-20,8,6080,262
06-05-20,10,6090,222
06-06-20,8,6098,186
06-07-20,9,6107,134
06-08-20,6,6113,155
06-09-20,5,6118,142
06-10-20,7,6125,182
06-11-20,5,6130,205
06-12-20,7,6137,195
06-13-20,1,6138,131
06-14-20,4,6142,147
06-15-20,5,6147,129
06-16-20,3,6150,119
06-17-20,4,6154,137
06-18-20,5,6159,83
06-19-20,2,6161,103
06-20-20,1,6162,98
06-21-20,5,6167,57
06-22-20,1,6168,71
06-23-20,1,6169,75
06-24-20,3,6172,113
06-25-20,0,6172,84
06-26-20,2,6174,69
06-27-20,3,6177,81
06-28-20,2,6179,68
06-29-20,1,6180,50
06-30-20,2,6182,58
07-01-20,3,6185,74
07-02-20,0,6185,75
07-03-20,3,6188,59
07-04-20,0,6188,77
07-05-20,3,6191,45
07-06-20,0,6191,41
07-07-20,3,6194,50
07-08-20,0,6194,58
07-09-20,0,6194,62
07-10-20,1,6195,98
07-11-20,0,6195,74
07-12-20,2,6197,88
07-13-20,0,6197,101
07-14-20,2,6199,95
07-15-20,3,6202,150
07-16-20,0,6202,134
07-17-20,1,6203,162
07-18-20,0,6203,135
07-19-20,1,6204,153
07-20-20,2,6206,179
07-21-20,0,6206,167
07-22-20,3,6209,141
07-23-20,1,6210,217
07-24-20,0,6210,188
07-25-20,0,6210,193
07-26-20,1,6211,201
07-27-20,4,6215,202
07-28-20,2,6217,235
07-29-20,1,6218,349
07-30-20,1,6219,343
07-31-20,1,6220,554
08-01-20,0,6220,366
08-02-20,0,6220,336
08-03-20,0,6220,472
08-04-20,0,6220,491
08-05-20,2,6222,668
08-06-20,0,6222,539
08-07-20,0,6222,564
08-08-20,1,6223,627
08-09-20,2,6225,571
08-10-20,5,6230,529
08-11-20,3,6233,681
08-12-20,3,6236,605
08-13-20,4,6240,685
08-14-20,4,6244,591
08-15-20,5,6249,546
08-16-20,2,6251,438
08-17-20,5,6256,430
08-18-20,3,6259,564
08-19-20,2,6261,576
08-20-20,7,6268,503
08-21-20,4,6272,519
08-22-20,2,6274,498
08-23-20,4,6278,529
08-24-20,3,6281,438
08-25-20,2,6283,530
08-26-20,5,6288,467
08-27-20,0,6288,528
08-28-20,5,6293,556
08-29-20,2,6295,524
08-30-20,5,6300,547
08-31-20,3,6303,568
09-01-20,4,6307,621
09-02-20,1,6308,625
09-03-20,1,6309,720
09-04-20,4,6313,786
09-05-20,2,6315,813
09-06-20,2,6317,848
09-07-20,1,6318,1033
09-08-20,2,6320,1116
09-09-20,2,6322,1021
09-10-20,3,6325,1135
09-11-20,4,6329,1219
09-12-20,7,6336,1275
09-13-20,1,6337,1285
09-14-20,0,6337,1478
09-15-20,1,6338,1747
09-16-20,6,6344,1828
09-17-20,9,6353,2145
09-18-20,6,6359,2020
09-19-20,9,6368,2089
09-20-20,6,6374,2318
09-21-20,11,6385,2326
09-22-20,15,6400,2651
09-23-20,5,6405,2474
09-24-20,15,6420,2847
09-25-20,17,6437,3012
09-26-20,14,6451,2724
09-27-20,12,6463,3043
09-28-20,14,6477,3017
09-29-20,16,6493,3564
09-30-20,24,6517,3803
10-01-20,19,6536,3686
10-02-20,11,6547,4381
10-03-20,23,6570,4208
10-04-20,21,6591,4433
10-05-20,30,6621,4541
10-06-20,26,6647,6066
10-07-20,17,6664,5787
10-08-20,18,6682,6048
10-09-20,25,6707,7205
10-10-20,26,6733,6224
10-11-20,30,6763,6793
10-12-20,32,6795,7972
10-13-20,29,6824,7640
10-14-20,33,6857,8578
10-15-20,37,6894,8391
10-16-20,33,6927,8554
10-17-20,46,6973,7835
10-18-20,56,7029,7695
10-19-20,46,7075,7720
10-20-20,50,7125,9531
10-21-20,51,7176,9839
10-22-20,61,7237,9685
10-23-20,62,7299,9218
10-24-20,48,7347,11118
10-25-20,49,7396,9405
10-26-20,64,7460,10330
10-27-20,68,7528,9109
10-28-20,73,7601,9409
10-29-20,60,7661,10355
10-30-20,75,7736,8826
10-31-20,74,7810,7710
11-01-20,81,7891,7481
11-02-20,81,7972,6913
11-03-20,74,8046,7858
11-04-20,84,8130,7164
11-05-20,68,8198,6703
11-06-20,87,8285,6068
11-07-20,75,8360,5192
11-08-20,83,8443,4418
11-09-20,67,8510,4807
11-10-20,86,8596,5759
11-11-20,68,8664,6176
11-12-20,54,8718,6182
11-13-20,56,8774,5625
11-14-20,61,8835,4961
11-15-20,59,8894,4162
11-16-20,54,8948,4730
11-17-20,62,9010,4779
11-18-20,55,9065,6165
11-19-20,44,9109,6106
11-20-20,56,9165,5733
11-21-20,48,9213,5142
11-22-20,45,9258,4163
11-23-20,45,9303,4118
11-24-20,57,9360,5155
11-25-20,55,9415,4948
11-26-20,54,9469,5675
11-27-20,47,9516,4640
11-28-20,38,9554,4949
11-29-20,48,9602,3919
11-30-20,51,9653,4347
12-01-20,53,9706,5471
12-02-20,51,9757,6059
12-03-20,25,9782,6349
12-04-20,42,9824,7156
12-05-20,39,9863,6570
12-06-20,46,9909,6147
12-07-20,48,9957,6678
12-08-20,55,10012,7535
12-09-20,45,10057,8675
12-10-20,59,10116,9610
12-11-20,57,10173,9938
12-12-20,61,10234,9144
12-13-20,56,10290,8458
12-14-20,78,10368,9275
12-15-20,73,10441,11167
12-16-20,60,10501,11134
12-17-20,63,10564,12494
12-18-20,60,10624,11335
12-19-20,73,10697,12374
12-20-20,70,10767,10232
12-21-20,75,10842,9767
12-22-20,78,10920,11182
12-23-20,72,10992,11450
12-24-20,83,11075,11632
12-25-20,79,11154,8602
12-26-20,74,11228,7480
12-27-20,88,11316,6943
12-28-20,92,11408,8066
12-29-20,93,11501,9728
12-30-20,58,11559,9443
12-31-20,68,11627,9508
01-01-21,49,11676,6527
01-02-21,53,11729,6339
01-03-21,56,11785,6194
01-04-21,33,11818,5248
