date,total
2020-02-27,5
2020-02-28,4
2020-02-29,14
2020-03-01,13
2020-03-02,47
2020-03-03,41
2020-03-04,44
2020-03-05,41
2020-03-06,32
2020-03-07,45
2020-03-08,72
2020-03-09,78
2020-03-10,138
2020-03-11,168
2020-03-12,186
2020-03-13,222
2020-03-14,221
2020-03-15,234
2020-03-16,271
2020-03-17,370
2020-03-18,458
2020-03-19,515
2020-03-20,696
2020-03-21,668
2020-03-22,540
2020-03-23,619
2020-03-24,1120
2020-03-25,1049
2020-03-26,1051
2020-03-27,1178
2020-03-28,985
2020-03-29,746
2020-03-30,806
2020-03-31,1124
