date,total
2020-10-01,3686
2020-10-02,4381
2020-10-03,4208
2020-10-04,4433
2020-10-05,4541
2020-10-06,6066
2020-10-07,5787
2020-10-08,6048
2020-10-09,7205
2020-10-10,6224
2020-10-11,6793
2020-10-12,7972
2020-10-13,7640
2020-10-14,8578
2020-10-15,8391
2020-10-16,8554
2020-10-17,7835
2020-10-18,7695
2020-10-19,7720
2020-10-20,9531
2020-10-21,9839
2020-10-22,9685
2020-10-23,9218
2020-10-24,11118
2020-10-25,9405
2020-10-26,10330
2020-10-27,9109
2020-10-28,9409
2020-10-29,10355
2020-10-30,8826
2020-10-31,7710
2020-11-01,7481
2020-11-02,6913
2020-11-03,7858
2020-11-04,7164
2020-11-05,6703
2020-11-06,6068
2020-11-07,5192
2020-11-08,4418
2020-11-09,4807
2020-11-10,5759
2020-11-11,6176
2020-11-12,6182
2020-11-13,5625
2020-11-14,4961
2020-11-15,4162
2020-11-16,4730
2020-11-17,4779
2020-11-18,6165
2020-11-19,6106
2020-11-20,5733
2020-11-21,5142
2020-11-22,4163
2020-11-23,4118
2020-11-24,5155
2020-11-25,4948
2020-11-26,5675
2020-11-27,4640
2020-11-28,4949
2020-11-29,3919
2020-11-30,4347
2020-12-01,5471
2020-12-02,6059
2020-12-03,6349
2020-12-04,7156
2020-12-05,6570
2020-12-06,6147
2020-12-07,6678
2020-12-08,7535
2020-12-09,8675
2020-12-10,9610
2020-12-11,9938
2020-12-12,9144
2020-12-13,8458
2020-12-14,9275
2020-12-15,11167
2020-12-16,11134
2020-12-17,12494
2020-12-18,11335
2020-12-19,12374
2020-12-20,10232
2020-12-21,9767
2020-12-22,11182
2020-12-23,11450
2020-12-24,11632
2020-12-25,8602
2020-12-26,7480
2020-12-27,6943
2020-12-28,8066
2020-12-29,9728
2020-12-30,9443
2020-12-31,9508
2021-01-01,6527
2021-01-02,6339
2021-01-03,6194
2021-01-04,5248
