date,total
2020-07-01,74
2020-07-02,75
2020-07-03,59
2020-07-04,77
2020-07-05,45
2020-07-06,41
2020-07-07,50
2020-07-08,58
2020-07-09,62
2020-07-10,98
2020-07-11,74
2020-07-12,88
2020-07-13,101
2020-07-14,95
2020-07-15,150
2020-07-16,134
2020-07-17,162
2020-07-18,135
2020-07-19,153
2020-07-20,179
2020-07-21,167
2020-07-22,141
2020-07-23,217
2020-07-24,188
2020-07-25,193
2020-07-26,201
2020-07-27,202
2020-07-28,235
2020-07-29,349
2020-07-30,343
2020-07-31,554
2020-08-01,366
2020-08-02,336
2020-08-03,472
2020-08-04,491
2020-08-05,668
2020-08-06,539
2020-08-07,564
2020-08-08,627
2020-08-09,571
2020-08-10,529
2020-08-11,681
2020-08-12,605
2020-08-13,685
2020-08-14,591
2020-08-15,546
2020-08-16,438
2020-08-17,430
2020-08-18,564
2020-08-19,576
2020-08-20,503
2020-08-21,519
2020-08-22,498
2020-08-23,529
2020-08-24,438
2020-08-25,530
2020-08-26,467
2020-08-27,528
2020-08-28,556
2020-08-29,524
2020-08-30,547
2020-08-31,568
2020-09-01,621
2020-09-02,625
2020-09-03,720
2020-09-04,786
2020-09-05,813
2020-09-06,848
2020-09-07,1033
2020-09-08,1116
2020-09-09,1021
2020-09-10,1135
2020-09-11,1219
2020-09-12,1275
2020-09-13,1285
2020-09-14,1478
2020-09-15,1747
2020-09-16,1828
2020-09-17,2145
2020-09-18,2020
2020-09-19,2089
2020-09-20,2318
2020-09-21,2326
2020-09-22,2651
2020-09-23,2474
2020-09-24,2847
2020-09-25,3012
2020-09-26,2724
2020-09-27,3043
2020-09-28,3017
2020-09-29,3564
2020-09-30,3803
